Song,Artist,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,dataset,kmeans,dbscan
Por Onde Andei - Ao Vivo,Nando Reis;Cachorro Grande,0g8L4DJyzH7CG0nPqGtNlR,0.386,0.819,0,-7.89,1,0.0523,0.131,8.36e-06,0.365,0.817,172.034,Not Hot,7,0
Asheville City Skyline,The Lonesome Trio,2PISNnUrK9tSS1nfH6Nge9,0.337,0.431,0,-6.958,1,0.0306,0.701,0.0,0.125,0.528,179.846,Not Hot,6,0
生きるをする,Macaroni Empitsu,3AsmEjhzT2QOOiQRCJTWX3,0.534,0.963,6,-3.098,1,0.102,0.0664,0.0,0.324,0.415,109.867,Not Hot,7,0
Painter of Pain,Confess,7JqI26jl28ofZtwcObW2dt,0.408,0.964,6,-4.872,0,0.0574,7.04e-06,0.00858,0.216,0.315,94.956,Not Hot,3,0
Fracasso,Manger Cadavre?,3Ny9J2c1beLVf3lETydYan,0.209,0.801,1,-8.36,1,0.084,5.58e-05,0.936,0.134,0.506,174.701,Not Hot,5,0
Running in the Night,FM-84;Ollie Wride,0E3HnGJSMplqBSYGsh2exH,0.527,0.714,2,-8.929,0,0.0371,0.00664,1.16e-06,0.0672,0.375,133.015,Not Hot,3,0
Happier,Marshmello;Bastille,2XiqR6g3EbBfdPvcqjct7w,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.011,Not Hot,2,0
Have You Ever Needed Someone So Bad,Def Leppard,0nf9RjoFTcOzTIXtmzhRuH,0.497,0.726,4,-8.335,1,0.0272,0.0489,8.99e-06,0.049,0.735,136.792,Not Hot,2,0
Keys to Imagination - Live,Yanni,59unyJeUOgH2ZNwS7sYA9G,0.245,0.568,9,-12.468,0,0.0706,0.303,0.535,0.93,0.27,165.774,Not Hot,0,0
Chekele,Ribin Richard;Archana Mohan Iyer,0hVxx4yyDgx6kkhXEpLqeT,0.787,0.906,0,-4.488,1,0.0377,0.157,0.265,0.0945,0.26,95.021,Not Hot,2,0
Tomo y Obligo,Carlos Lombardi;Los Românticos De La Noche,6CGQLYFna6APl9jGLUhduD,0.564,0.36,0,-11.541,0,0.037,0.815,0.304,0.249,0.603,115.416,Not Hot,6,0
Blue Line,Let's Active,2guXQPy9ZxM9jNfu5meTnW,0.49,0.76,4,-9.074,0,0.0398,0.0213,2.2e-05,0.051,0.772,128.241,Not Hot,3,0
The Kids Aren't Alright,The Offspring,4EchqUKQ3qAQuRNKmeIpnf,0.523,0.943,1,-4.203,1,0.0337,0.00704,3.81e-05,0.0579,0.766,99.607,Not Hot,2,0
Tick Tick Tick,Kailash Kher;Prem Jogi;Vijay Prakash;Siddarth Basrur,0jpcPKLwQbM2YLO46t7fHk,0.693,0.926,7,-5.782,1,0.122,0.245,4.13e-05,0.0442,0.501,132.963,Not Hot,2,0
Bottom Of The World,Alejandro Escovedo,0OWdPch0FiCzO2jc68WDPB,0.655,0.687,2,-9.366,1,0.0271,0.0767,0.0,0.0809,0.803,126.397,Not Hot,2,0
No Nah,Jor'dan Armstrong,0HuzFOajs0M126BCUJYN81,0.757,0.673,8,-6.553,1,0.0372,0.0213,0.0,0.284,0.639,100.024,Not Hot,2,0
